key	text	tooltip
#Loc;1;text/db/armory_item_ui_infos__.loc		
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	Những chiếc găng tay vỡ nát vẫn tô điểm cho đôi tay, phần còn lại hư hại của chúng chỉ là minh chứng cho sự kiên cường.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	Găng tay nhẹ bằng da và vảy, đẫm máu của kẻ thù của người đeo.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	Găng tay nặng vừa phải, để giữ ranh giới giữa sự cơ động và sức mạnh.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	Găng tay dạng tấm làm từ đồng và sắt, một bức tường bất khả xâm phạm giữa người đeo và những nạn nhân sắp tới của chúng.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	Những gai kim loại sắc nhọn tô điểm cho chiếc găng tay Khornate đầy đe dọa, tăng thêm độ chết chóc tàn bạo cho mọi đòn tấn công tay không.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	Sự nóng nảy rực lửa của Khorne phồng rộp và bốc cháy trên bề mặt của chiếc găng tay, được thắp lên bởi ngọn lửa địa ngục của Hỗn Mang.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_base_1	To lớn và mạnh mẽ, đôi tay mang những múi cơ cuồn cuộn và chứa đựng sức mạnh phi thường.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_base_2	Đôi tay đen sì và cháy sém, bị thiêu rụi hoàn toàn ngoại trừ những viên than hồng còn sót lại, vẫn cháy rực ở đầu ngón tay. 	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_base_3	Những nguồn năng lượng vặn vẹo của Hỗn Mang chảy qua đôi tay, tỏa ra thứ ánh sáng đỏ thẫm hung bạo.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_base_4	Một chiếc găng tay kim loại chắc chắn được đeo trên tay, ban cho một sức mạnh vô lượng trong một nắm đấm. 	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_base_5	Một chiếc găng tay nhẹ bảo vệ cánh tay, đảm bảo không có nhát chém lạc hướng nào có thể gây ra bất kỳ tổn hại nào.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_base_6	Những chiếc gai sắc như dao cạo nhô ra từ cánh tay, có khả năng xé toạc cả thịt và xương.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_bird_1	Những cổ tay mỏng manh giống loài chim nâng đỡ bàn tay, nơi những chiếc móng vuốt sắc như dao cạo mọc ra, giữ chặt một con mắt luôn quan sát, ánh nhìn của nó lướt qua tất cả.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_bird_2	Đôi tay được quấn bằng những dải kim loại dày, nơi da và lông phồng lên giữa mỗi sợi xích.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_bird_3	Những chiếc vòng tay được trang trí tinh xảo che phủ cánh tay, không mang lại nhiều độ chắc chắn.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_bird_4	Toàn bộ cánh tay được bảo vệ bởi một chiếc vòng tay hạng nặng gồm nhiều bộ phận, khiến cho rất ít phần da bị hở.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_bird_5	Đôi tay được xếp dọc bởi những chiếc ngạnh dày chạy dọc theo chiều dài của chúng, mỗi chiếc đều có khả năng gây ra vết thương chí mạng. 	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_bird_6	Những vòng nhẫn trang trí bao quanh đôi tay, lấp lánh dưới ánh mặt trời.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_corpulent_1	Đôi tay sưng phồng lên một kích thước khổng lồ, da thịt thối rữa trên xương.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_corpulent_2	Những chiếc gai mang bệnh tật nhô ra từ cánh tay, tăng thêm sức mạnh cắt phá tàn khốc vào trọng lượng khổng lồ của chúng.	false
armory_item_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_l_corpulent_3	Phần mỡ khổng lồ của cánh tay đã làm bung chiếc găng tay bên trên, làm nứt bộ giáp và để lộ da thịt.	false
