key	text	tooltip
#Loc;1;text/db/armory_item_variant_ui_infos__.loc		
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_armoured_01	Những chiếc găng tay bọc thép vỡ nát vẫn điểm xuyết trên cánh tay, tàn tích hư hại của chúng không gì khác ngoài một minh chứng cho sự kiên cường.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_armoured_02	Găng tay bọc thép nhẹ làm từ da và vảy, đẫm máu kẻ thù của kẻ mang nó.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_armoured_03	Găng tay bọc thép nặng vừa phải, để cân bằng giữa sự cơ động và sức mạnh.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_armoured_04	Găng tay dạng tấm làm từ đồng thau và sắt, một bức tường không thể xuyên thủng giữa kẻ mang nó và những nạn nhân sắp tới.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_armoured_05	Những chiếc gai kim loại sắc nhọn tô điểm cho những chiếc găng tay Khorne đầy đe dọa, gia tăng sự chết chóc tàn bạo cho mọi đòn đánh không vũ khí.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_armoured_06	Tính khí rực lửa của Khorne phồng rộp và bốc cháy trên bề mặt đôi găng tay, được châm ngòi bởi ngọn lửa địa ngục của Hỗn Mang.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_base_01	To lớn và mạnh mẽ, hai cánh tay cuồn cuộn cơ bắp và tràn đầy sức mạnh siêu nhiên.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_base_02	Đôi tay đen nhẻm và bỏng rát, cháy đen hoàn toàn ngoại trừ những viên than hồng rực rỡ còn sót lại, vẫn đang cháy sáng nơi đầu ngón tay. 	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_base_03	Những nguồn năng lượng vặn vẹo của Hỗn Mang chảy qua cánh tay, phát ra ánh sáng đỏ rực rỡ và dữ dội.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_base_04	Một chiếc găng tay kim loại chắc chắn được đeo trên cánh tay, ban sức mạnh vô lượng chỉ trong một cú đấm. 	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_base_05	Một chiếc găng tay bọc thép nhẹ bảo vệ cánh tay, đảm bảo không có nhát chém lạc hướng nào có thể gây hại.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_base_06	Những chiếc gai nhọn hoắt như dao cạo nhô ra từ cánh tay, có khả năng xé toạc cả thịt lẫn xương.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_beast_01	Cánh tay ngắn nhưng cực kỳ vạm vỡ, với bộ lông thô ráp mọc thành từng mảng trên da.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_beast_02	Các cơ bắp trên cánh tay phồng lên và căng ra giữa những đoạn xích quấn chặt.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_beast_03	Những dải da dày quấn quanh mỗi cánh tay, một biện pháp bảo vệ khỏi những nhát chém và đòn đánh nhẹ.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_beast_04	Những chiếc giáp tay bằng đồng thau được đeo trên cổ tay, nơi những chiếc gai kim loại dựng đứng lên trên lớp lông dày. 	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_beast_05	Những mảnh xương và những phần phụ đẫm máu treo trên những tấm kim loại, được hàn chặt vào chính cánh tay.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_beast_06	Đôi bàn tay rực cháy với ngọn lửa hung bạo, một ngọn lửa bỏng rát đốt cháy khắp bề mặt da.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_bird_01	Những cổ tay gầy guộc, giống như chim đỡ lấy đôi bàn tay, nơi những móng vuốt sắc như dao cạo mọc ra, giữ chặt một con mắt luôn cảnh giác, ánh nhìn của nó lướt qua mọi thứ.	false
armory_item_variant_ui_infos_description_wh3_main_dae_cha_daemon_prince_arm_bird_02	Đôi tay được quấn trong những dải kim loại dày, nơi da và lông vũ phồng lên giữa mỗi mắt xích.	false
